,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Escherichia_coli|t__SGB10068,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Phocaeicola_plebeius,Prevotella_copri_clade_A,Ruminococcus_torques,parainfluenzae,putredinis,unclassified
70,0.0,0.0,0.91205,0.89624,2.37095,0.17374,0.13229,2.51176,0.0,0.0,10.65824,0.40868,0.0,0.0,0.0
71,0.0,0.0,3.27668,2.88099,0.17272,0.00718,0.50445,6.27424,1.72067,12.09035,0.00124,0.10703,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32191
73,7.40556,0.79902,0.01583,14.4827,0.52004,0.00967,0.0,2.97071,0.0,0.0,0.02542,0.03721,0.0,0.0,0.0
74,0.0,0.01089,0.00705,0.00021,0.07705,0.04437,0.0,1.74231,0.06802,0.00327,36.78859,0.6929,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83481,0.0,10.0417
76,0.00875,0.0,6.93148,5.46393,1.10442,1.83579,0.0,6.74958,0.0,0.016,0.13495,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65015,0.34504,26.88272
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06524,20.59209
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11149,0.0,65.54681
80,4.02268,0.27659,12.59911,1.36,0.09191,0.07551,0.10556,2.25633,0.0,6.31158,0.00039,0.20878,0.0,0.0,0.0
81,0.0,0.20016,0.0,4.56686,0.50398,0.39296,0.0,12.11138,0.0,0.0,0.0,0.97917,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26504,0.11345,4.56118
83,1.2058,0.0,0.0,1.97496,0.53609,15.88358,0.59157,3.94999,0.0,0.0,0.0,0.43056,0.0,0.0,0.0
84,0.0,0.69907,7.67505,2.46503,0.63554,1.0495,0.0,3.0529,0.0,13.68753,0.00635,0.90843,0.0,0.0,0.0
85,0.74832,0.01119,0.0025,9.50842,0.24105,0.22844,0.0,0.3013,4.2537,0.00195,0.00398,1.64489,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01118,0.0,6.15344
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41881,2.7790800000000004
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11881,0.2215,20.34345
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28738,0.0,25.70658
92,0.0,0.0,0.0,0.0,1.9472,0.0,21.78071,0.31913,0.0,0.0,0.0,1.43137,0.0,0.0,0.0
93,0.39487,0.10852,0.0,8.15887,0.06552,0.02495,0.0,0.37516,0.0,0.0,0.00148,4.37807,0.0,0.0,0.0
94,0.0,0.0,0.0,0.29749,2.34763,0.0,0.0,9.55316,0.0,0.0,0.0,0.18242,0.0,0.0,0.0
95,0.0,0.2765,8.68843,37.0396,0.08423,0.0323,0.0,0.03503,0.0,0.0,0.0,0.26388,0.0,0.0,0.0
96,0.0,0.0,7.14592,0.32272,0.26427,0.34701,0.0,8.59574,0.00038,0.01118,0.00916,0.08828,0.0,0.0,0.0
97,0.0,0.76382,5.34026,0.00588,0.0,3.0967,0.0,0.0,0.0,0.00498,0.0,6.97158,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15012,0.02337,25.77347
99,0.31457,0.0,0.11619,1.05716,0.13211,1.10755,0.00437,1.22448,1.58204,4.48792,0.05642,0.07518,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46139,0.0,7.53974
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,66.41921,0.0008,0.27809,0.84203,0.64741,0.0,1.79423,0.0,0.009,0.0989,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93773
104,0.0,0.04607,0.11245,0.48076,0.29905,5.89748,0.01025,0.0615,0.0,0.06591,0.03284,6.22785,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.60158,2.05954
106,0.2659,0.01339,0.0,0.62887,0.69658,0.20458,0.13883,0.37516,0.0,0.0,0.0,3.79948,0.0,0.0,0.0
107,0.0,0.06752,0.49,0.72121,6.53385,0.12957,0.00326,3.32052,0.0,0.0,0.0,2.45749,0.0,0.0,0.0
108,0.07944,0.00097,0.0,1.02145,3.06401,0.01272,0.0,3.85883,0.0,0.91415,0.8709,5.48355,0.0,0.0,0.0
109,0.03753,0.0,0.0,0.08495,11.04473,0.0,0.154,0.61173,0.0,0.0,0.0,6.20692,0.0,0.0,0.0
110,0.03912,1.04772,2.63578,4.4218,9.76223,3.63318,0.0,0.0,0.0,0.0,0.0,0.31802,0.0,0.0,0.0
111,11.39672,0.0,0.0,0.0,3.33163,0.0,2.23512,2.36009,0.0,0.0,0.0,0.98064,0.0,0.0,0.0
112,0.4565,0.02144,0.00093,2.21755,0.31033,3.68166,0.0,4.92379,0.0,4.93137,20.37964,2.19704,0.0,0.0,0.0
113,4.25677,0.74797,0.0,2.57294,0.00789,0.0,0.0,1.64065,0.0,0.00662,0.0,0.0,0.0,0.0,0.0
114,0.21795,0.0,0.00771,2.00997,0.16458,0.21819,0.0,3.50458,0.0,0.05418,0.33657,0.09108,0.0,0.0,0.0
115,0.0,0.0,0.0,0.7217,13.75679,0.53765,0.0,0.0,0.0,0.0,0.0,2.69321,0.0,0.0,0.0
116,0.17154,0.19036,0.0,2.76112,6.0884,0.67104,0.0,4.85501,0.0,0.0,0.0,0.16139,0.0,0.0,0.0
117,0.0,0.01831,1.57114,12.93786,0.26184,0.1513,0.0,7.15817,0.0,2.88447,25.78387,0.07843,0.0,0.0,0.0
118,0.0,0.00142,7.16261,7.30184,0.01493,0.02157,0.0,2.67698,0.0,17.68193,0.0,0.07603,0.0,0.0,0.0
119,0.0,0.30241,0.0,0.31574,8.7047,0.54982,0.0,0.0017,0.0,0.0,0.0,13.25429,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1368,0.0,0.56418
121,0.0,0.08122,0.00029,0.00076,0.0,0.3404,0.0,3.93278,0.0,0.00146,0.00429,1.49807,0.0,0.0,0.0
122,0.12694,6.05508,13.13054,15.23865,0.16702,0.75182,0.0,0.0,0.0,0.0,0.0,0.52422,0.0,0.0,0.0
