,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dysosmobacter_welbionis,Faecalibacterium_SGB15346,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Harryflintia_acetispora,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Lachnospiraceae_bacterium|t__SGB4750,Mediterraneibacter_sp_gm002,Ruminococcus_torques,unclassified
43,0.11959,0.0,0.16009,0.03456,0.07171,0.79779,11.44678,6.73782,1.96558,0.58996,0.0,0.20864,0.01663,0.0025,0.00079,0.04338,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06349
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73194
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09094
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52071
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39981
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6315700000000002
51,0.18894,0.01226,0.01825,0.04556,0.02151,0.3748,4.61844,0.64509,2.30337,0.49067,0.0,0.44312,0.11315,0.0,0.02779,0.76816,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.78468
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2668
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31134
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63149
57,0.0,0.02289,0.05696,0.02413,0.00197,0.02869,2.34709,0.05052,0.0,0.41702,0.0,1.27474,0.0,0.0,0.0,0.20837,0.0
58,0.17746,0.0,0.24282,0.13425,0.00178,0.3613,4.66314,1.07179,0.43743,0.65397,0.0015,2.25976,0.00565,0.01686,0.05666,0.93117,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93889
60,0.02372,0.0,0.0717,0.24729,0.01725,0.29512,17.9645,0.19301,6.29852,1.06912,0.0,0.81085,0.32222,0.05905,0.0024,0.70944,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81113
62,0.00016,0.0,0.00108,0.0221,0.04978,0.02478,0.34133,0.04895,0.10379,0.04589,0.0,0.01895,0.0251,0.0,0.0,0.07562,0.0
63,0.0,0.00335,0.00153,0.09661,0.13655,0.01227,0.74972,0.01481,0.15843,0.02221,0.0,0.2651,0.05177,0.0,0.0,0.59518,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11071
65,0.07858,0.00598,0.10208,0.02099,0.30088,1.55155,0.0183,0.01063,0.0,0.00517,0.0,0.14318,0.00453,0.06398,0.0,0.2545,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504400000000001
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269
