,Agathobaculum_butyriciproducens,Bacteroides_ovatus,Bacteroides_thetaiotaomicron,Bacteroides_xylanisolvens|t__SGB1867,Bifidobacterium_longum|t__SGB17248,Blautia_faecis,Blautia_wexlerae|t__SGB4837_group,Clostridium_fessum,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae|t__SGB4761,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Fusicatenibacter_saccharivorans|t__SGB4874,Parabacteroides_distasonis,Parabacteroides_merdae|t__SGB1949,Phocaeicola_vulgatus|t__SGB1814,Streptococcus_salivarius|t__SGB8007_group
76,0.0,9.70781,0.35507,0.23325,0.0,0.0302,1.10442,0.42007,0.22218,0.04909,1.83579,6.74958,0.29552,0.0,1.7533,3.07514,0.06594,0.00072
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.07897,1.96034,2.68184,0.92469,0.0,0.33477,0.09191,0.33462,0.11635,0.00258,0.07551,0.85726,0.17601,0.03905,2.00509,0.08135,5.61602,0.00896
81,0.94604,0.04473,0.14752,0.0,0.10134,0.10772,0.50398,0.17247,0.0,0.0,0.39296,3.95928,0.01794,1.96809,0.38427,0.0,2.95257,0.04225
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.24334,0.11022,0.26384,0.04061,0.0,0.17826,0.53609,0.12412,0.0,0.0,15.88358,1.52717,0.0,0.75572,0.7162,0.46293,1.32255,0.02069
84,0.00068,0.92987,0.08136,0.24198,0.0,0.11581,0.63554,0.0,0.06932,0.02582,1.0495,0.59056,1.50074,0.32669,0.25591,1.49208,2.44848,0.54114
85,0.03865,0.01343,0.61477,2.73046,0.00037,0.16813,0.24105,0.15102,0.05698,0.0,0.22844,0.09818,0.01059,0.00164,1.10591,0.31515,15.15886,0.21736
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00827,4.56644
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,1.63354,0.0,0.0,0.0,0.1345,1.9472,0.11067,0.0015,0.0,0.0,0.05128,0.04061,2.32618,0.0,0.0,0.0,0.0
93,0.11924,0.6926,0.26097,0.0493,0.0,1.21412,0.06552,0.15445,0.01012,0.01579,0.02495,0.14108,1.00881,0.94206,0.22411,0.4891,2.89191,0.10051
94,0.47714,0.11164,0.01398,0.0,1.65982,0.41162,2.34763,1.27755,0.0,0.00069,0.0,5.34576,0.04808,2.48553,0.00341,0.04908,0.4992,0.30816
95,0.0,0.38324,3.73817,1.86653,0.0,0.0,0.08423,0.0,0.0,0.0,0.0323,0.03503,0.03043,0.0,0.04955,4.55445,34.3644,0.0
96,0.03752,1.94626,0.06779,0.19972,0.0,0.0666,0.26427,0.40147,0.03214,0.01185,0.34701,0.00154,0.03851,0.0,0.31815,0.12527,27.5648,0.0
97,0.0,0.00644,1.99692,0.0,0.0,0.0,0.0,0.0,2.29879,0.0,3.0967,0.0,2.34066,0.0,0.0,4.03416,0.00594,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.03149,0.30221,0.31014,2.19845,0.04089,0.07158,0.13211,0.09428,0.00878,0.02998,1.10755,0.24419,0.07733,0.18987,1.42179,1.00957,4.16439,0.00172
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.00373,0.00736,0.8424,0.09437,0.0,0.84203,1.63027,1.07529,0.06596,0.64741,1.79423,1.24815,0.0,0.0,0.07273,4.19831,0.01251
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.28434,0.02165,0.0615,0.03766,0.06792,0.19174,0.29905,3.2517,2.09879,0.30916,5.89748,0.00125,0.06965,0.02219,0.39421,0.06293,0.05045,0.19057
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.02763,0.2679,0.04743,0.0,0.32971,2.4749,0.69658,0.03271,0.20715,0.0,0.20458,0.00882,0.0122,0.47471,0.25912,0.0,4.03919,0.27917
107,0.41199,0.30103,0.35008,0.10734,0.18422,1.41323,6.53385,0.50119,0.07569,0.01359,0.12957,0.52753,0.01272,1.41637,0.35457,0.3669,0.25902,5.6683
108,0.52473,0.0,0.06498,0.14066,0.2813,0.54813,3.06401,0.42853,0.02353,0.00197,0.01272,0.04086,0.12981,1.44526,0.40805,0.0,0.58497,0.11533
109,0.05142,0.04731,0.0,0.0,1.53256,0.38607,11.04473,0.19954,0.24801,0.02665,0.0,0.0,0.05859,0.78346,0.00137,0.0,0.0,0.257
110,0.73003,0.76188,1.20784,8.44857,0.15629,0.23534,9.76223,0.0,0.86126,0.06553,3.63318,0.0,1.52374,0.0,2.73614,0.0,4.02697,0.18074
111,0.03975,3.20906,0.0,0.0,0.0,0.26681,3.33163,0.09166,0.0,0.0,0.0,0.27314,0.0,2.40704,0.0,0.0,0.05381,0.0
112,0.08898,0.01982,1.13695,0.92223,0.0,0.09236,0.31033,0.43596,0.01174,0.0019,3.68166,2.8851,0.01153,0.0757,1.13128,0.31184,11.96695,0.05245
113,0.0,3.31935,0.0,0.01833,0.0,0.0,0.00789,0.01298,0.0,0.0,0.0,0.11767,0.01777,0.0,1.40063,8.52643,12.95092,0.0
114,0.03713,0.64193,0.2559,0.01024,0.0,0.01113,0.16458,0.03842,0.0,0.0,0.21819,0.03356,0.00553,0.33972,0.04197,0.03478,1.63322,0.0
115,0.33563,0.0,0.0,0.0,1.91694,0.0714,13.75679,0.0,0.72807,0.21008,0.53765,0.0,0.02499,0.44975,0.58688,0.0,0.28383,11.79276
116,0.16145,2.21996,0.03678,0.05514,2.59274,1.49592,6.0884,0.0,0.0,0.0,0.67104,3.32677,0.02841,0.0,0.20776,0.26538,0.13864,1.70686
117,0.03703,0.0253,0.31407,0.25836,0.0066,0.07559,0.26184,0.28903,0.0072,0.00254,0.1513,0.16729,0.01256,0.06817,0.54266,0.8108,6.98396,0.01093
118,0.0,0.76138,0.0583,0.15335,0.0,0.0,0.01493,0.0,0.0,0.0,0.02157,0.04543,0.0,0.01383,0.36444,0.33115,7.04719,0.0
119,0.20423,0.0,0.0,1.67668,1.15306,0.00708,8.7047,0.0,0.18295,0.02559,0.54982,0.0017,0.18376,0.2013,0.0,0.11229,1.09749,0.15496
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.12436,0.00401,0.01091,0.0,13.96386,0.0,0.0,0.0,0.0,0.0,0.3404,1.15741,0.00649,1.50043,0.0,0.0,0.37179,0.95676
122,0.18155,2.23342,4.21796,1.13454,0.03293,0.08678,0.16702,0.26542,0.19325,0.05987,0.75182,0.0,0.24858,0.4478,1.52851,0.0,1.54826,0.0
123,0.29905,1.84356,0.05346,0.08347,0.93407,0.0,0.62134,1.48309,0.03254,0.0,0.30892,2.29811,0.00073,0.0,0.2176,0.15349,37.84533,0.08947
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,6.45791,0.0,0.0,0.0,0.0874,0.93093,0.03594,0.0,0.0,0.0,0.07103,0.02858,1.74283,0.0,0.0,0.0,0.00509
126,0.03718,0.12058,0.61089,0.38593,0.0,0.03512,0.21221,0.45211,0.0,0.0,1.90024,0.27898,0.00419,0.07857,0.15095,0.46492,5.34366,0.05286
127,0.0062,0.3602,0.0159,0.0,0.05304,0.31791,0.87968,0.13069,0.0,0.0,0.0,0.0,0.05907,0.45425,0.74537,1.23218,4.9343,0.04153
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.03593,0.11351,1.60457,0.10023,0.03273,0.04824,0.216,0.52596,0.04443,0.01955,0.14853,0.31684,0.01815,0.15905,0.45709,0.0,2.51476,0.0288
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.04333,2.27636,0.0,0.0,0.0,0.192,2.29566,0.12981,0.0,0.0,0.0,0.02743,0.01755,1.69126,0.0,0.0,3.18053,0.01339
132,2.63277,2.22537,0.57039,0.51909,0.26869,0.11589,0.2984,0.92925,0.25682,0.03523,0.68558,2.17471,0.08237,0.03098,0.46674,0.07049,14.07345,0.00646
133,0.00521,5.0775,0.0,0.0,0.0,0.03174,1.95186,0.1424,0.0,0.0,0.0,0.13341,0.0,0.60113,0.0,0.0,9.06499,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.020416975474446465,0.04553935200146485,0.4130536397257478,0.2801090580742512,0.04750165202665358,0.05492298406873995,0.14616507273968363,0.16726075481461092,0.00020831508227352077,0.0003250291649307206,0.10751472713086385,1.5577261757606653,0.027915576882189107,0.10061475658435276,0.25333575869021324,0.18977103314668314,5.2346033305590405,0.12495621102237676
136,0.40573847088517595,0.29197196279632515,0.33954604104487096,0.15456167260809583,0.21337253883137342,1.3709187386175883,6.599171197434135,0.48610911880506996,0.07891746925710448,0.013951081774056068,0.14221538462892186,0.5117076975623416,0.017866618886212493,1.3798083640664744,0.3439009362810783,0.3592387474589654,0.2842496862577326,5.50240278431881
137,0.7915286567877009,0.20085156943420712,0.1378686961101043,0.008449917624434734,0.1269159553082236,0.0927035094685338,0.424924762356047,0.17039563989310924,0.0,0.0004624583113908361,0.38247928718206636,4.424844824830396,0.016118651505500584,1.6541126424638701,0.47785581183374043,0.15537426361217688,2.876326374843416,0.035586243824632775
138,0.6225790153690561,1.5871620831289768,0.07433567586625092,0.022792480140206163,0.21992466811295375,0.8312352454890715,3.286907022384631,0.10642223888084523,0.1258639986497938,0.010518122531645278,0.7828716948212242,0.23448076612785268,0.025708528064915227,1.9939302237040473,0.07528907847319638,0.07790721970785952,3.794703706422927,1.3739413249823889
139,0.2695728828868308,0.5748010584955358,0.24034195747035442,0.04033602911668994,0.018426142176767576,1.0129488562820639,0.14524297512162532,0.15772648590907196,0.008279931331864143,0.01291898376779988,0.09186340618188509,0.8353240897901516,0.8286450947435002,1.1286178711035015,0.25323108674788924,0.40016940853900707,2.9029395025107827,0.08991687741051432
140,0.31230203435901416,0.054935609164222445,0.0025639950477510044,0.04105025528966788,0.49392578894324013,0.4025557900593731,2.9911399100551,0.2957980719712908,0.0,0.00012654911179886934,0.0,1.2804128458994335,0.008818088833753098,1.453941249207646,0.0006254093786002093,0.3522247438071098,0.5477792657088192,0.4305513320631673
141,0.04903804231461736,0.2329406802336482,0.369007264513243,0.21326227302415535,0.03374425121646242,0.3906489490771905,0.12280869371471166,0.16355051146208927,0.003078931498750522,0.0048039850163311,0.08360237891851097,1.1474379349384654,0.31200164874640657,0.34431363819382765,0.2448714114700874,0.27646251429329394,4.556113851797793,0.11787611361572994
142,0.19039199381815033,0.05812541197600371,0.07900924324114046,0.03200163723194323,0.2074523831585499,0.23613324970159105,2.2932104787901517,0.07358912315387606,0.0,0.0,0.008744481657966824,0.28449603629076436,0.0033979915138294993,1.1215316305558203,0.046417039322479335,0.27115480606777786,0.665405943276981,0.24994509871880796
143,0.0,4.212433803091506,13.056410374277945,0.5713674591526317,0.05360734859074353,0.0,0.7681587629118254,0.926082994458318,2.0049782219739853,0.07785144636321745,0.7045692843169112,1.0192212892017567,0.7442472607022943,0.0,3.5664188381714252,0.04131463879415892,2.4066841322260464,0.007106367816787132
144,0.06377083523970573,0.45796256287950854,0.09583495007285336,0.733026144952805,0.012183743193528482,0.17057085357023966,0.3413052472349117,0.18836632430412875,0.001724076509972408,0.0,3.4563411971055644,3.4933913875660156,0.054728178704474974,0.2513231436842053,0.2606586397285319,0.3396666859474272,2.9238130870399672,0.008645314798863709
