,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dorea_longicatena,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Leuconostoc_pseudomesenteroides,Parabacteroides_distasonis|t__SGB1934,Phocaeicola_coprocola,unclassified
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56418
106,0.0,0.04443,0.0,0.0,0.0,5.75229,3.93278,1.15741,0.00034,2.77471,0.02897,0.0,0.0,0.0,0.0,0.0
107,0.50349,0.07895,0.12663,0.26542,0.02977,0.0,0.0,0.0,0.0,0.0,0.97959,3.5367,0.0,1.52851,0.0,0.0
108,0.00426,0.0,0.0,1.48309,0.0,0.17497,2.29811,2.29811,0.0,0.0,2.44503,0.0,0.0,0.2176,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13981
110,0.0,0.10529,0.0,0.03594,0.06971,0.15001,0.77099,0.07103,0.0,0.47373,0.81406,0.0,0.0,0.0,0.0,0.0
111,0.05907,0.0,0.0,0.45211,0.04025,0.11369,1.50839,0.27898,0.08993,0.20872,1.05225,5.85235,0.0,0.15095,0.0,0.0
112,0.06538,0.0,0.0,0.13069,0.03873,1.5445,0.69599,0.0,0.0,0.20973,1.13226,0.0,0.0,0.74537,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39968
114,0.12918,0.12487,0.03109,0.52596,0.23794,0.26592,4.01073,0.31684,1.99488,0.08986,0.60929,0.82227,0.0,0.45709,0.14333,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0145
116,0.0,0.02815,0.0,0.12981,0.10688,0.56369,1.30621,0.02743,0.0,0.44255,1.34752,0.0,0.0,0.0,0.0,0.0
117,0.00057,0.08716,0.0034,0.92925,0.0,0.34428,2.17471,2.17471,0.0,0.0,1.04981,0.0,0.0,0.46674,11.76954,0.0
118,0.0,0.00358,0.0,0.1424,0.04025,0.17938,2.19702,0.13341,0.33171,0.34653,0.34922,0.00362,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09016
120,0.0031587402169636985,0.0505468062452976,0.41940277594399067,0.8759719671666051,0.05906787681253366,0.33361399462291985,4.736084742040006,1.5917507491207616,0.7209658855636462,1.1120939673476329,0.9736309544821014,0.005153863595734569,0.0,1.5904865481072756,0.0,0.0
121,0.08478379051904715,0.07371935512770014,0.0,0.1516703514346657,0.018167930050019435,0.0672633186281282,4.5843173678197715,0.1756970587244257,1.2202791012462384,2.210283688337752,0.23834815082260186,0.3108657100989377,0.0,0.2847643251895502,0.03232606752037518,0.0
122,0.1096187153720693,0.013662420939650121,0.0,0.35442163446656344,0.3018705839342595,1.5484078059877806,4.083201979070723,0.8366996041538421,1.3164381129367055,0.5099552113345323,1.8116861543617877,0.01333862133182966,0.00436834280664213,0.17363312733788672,0.0,0.0
123,0.0370571325712895,0.036626401897548844,0.04177495447672741,0.6757893646109415,0.649366104768638,1.4854115206435148,5.517184829903917,1.5858014658365924,1.7474592544525298,0.33010615386946646,1.3769588819984306,0.018986547429013574,0.0,0.2902070407102644,0.0,0.0
124,0.39796798893369945,0.07675140335873337,0.01902250649691878,0.5394403489662918,0.17385303144761208,0.21827882429822484,8.927793055541107,1.0973261992922394,3.0536715552473463,0.26397114701438223,0.4789890167583028,0.6100466887184082,0.0,0.7775093168777285,0.08769687540055866,0.0
