,Agathobaculum_butyriciproducens,Anaerostipes_hadrus,Bacteroides_caccae,Bacteroides_thetaiotaomicron|t__SGB1861,Bacteroides_uniformis|t__SGB1836_group,Bacteroides_xylanisolvens,Blautia_wexlerae,Clostridiaceae_bacterium,Clostridium_sp_AF34_10BH|t__SGB4914,Eggerthella_lenta,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Lachnospiraceae_bacterium,Parabacteroides_distasonis|t__SGB1934
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.09844,0.1021,0.06965,0.24277,0.87827,0.18499,0.11811,0.10865,0.18904,0.0,0.0,0.0,0.00768,0.64509,0.00312,0.44312,0.46521
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.00426,1.01109,0.0,0.0,0.0,0.0,2.5594,0.24945,2.19433,0.0,0.0,0.0,0.0,0.05052,0.0,1.27474,0.0
43,0.05407,0.38964,0.22618,0.09594,0.82575,0.0,2.47174,0.7319,0.2605,0.0,0.00189,0.0048,0.03835,1.07179,0.00198,2.25976,0.03605
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.09666,0.02299,0.00046,0.16625,0.1513,0.01183,1.36298,0.08948,0.06067,0.0,0.0,0.0,0.0184,0.19301,0.00715,0.81085,0.09767
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.00655,0.36221,0.00489,0.48232,0.08472,0.03796,0.01194,0.07069,0.0,0.0,0.0,0.0,0.04895,0.0,0.01895,0.09152
48,0.00708,0.04499,1.68035,0.66175,0.97425,0.20619,0.05363,0.01229,0.05393,0.0,0.0,0.0,0.0,0.01481,0.00705,0.2651,1.15538
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.07633,0.55481,0.06196,0.74788,0.71512,0.07734,0.0007,0.01015,0.00816,0.0202,0.00896,0.11435,0.01063,0.23052,0.14318,0.59952
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.54173,0.0,0.0,7.15354,1.92465,2.29527,0.07945,3.8484,0.27047,0.01786,0.01393,0.00304,1.09193,0.07909,2.13152,0.38162
55,0.44104,0.43586,1.08753,1.23904,0.89624,0.4163,2.37095,0.21853,0.8503,0.0,0.04914,0.0025,0.17374,1.03782,0.22029,1.14048,0.35464
56,0.01935,0.0273,0.35163,0.07179,2.88099,0.11512,0.17272,0.07419,0.40702,0.00114,0.00246,0.01307,0.00718,0.95794,0.04292,0.17227,0.14502
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.21723,0.23572,1.58283,1.81018,14.4827,1.40288,0.52004,0.44234,0.33907,0.00066,0.06042,0.08661,0.00967,2.0963,0.23693,0.82604,1.98145
59,0.00164,0.06078,0.0,0.00362,0.00021,0.0,0.07705,0.0,0.0,0.0,0.00312,0.00139,0.04437,0.18498,0.0,0.45735,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.04244,2.20135,0.35507,5.46393,0.23325,1.10442,0.67115,0.0,0.02146,0.22218,0.04909,1.83579,6.74958,0.29552,0.02571,1.7533
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.07897,0.17969,2.41857,2.68184,1.36,0.92469,0.09191,0.14298,0.3328,0.028,0.11635,0.00258,0.07551,0.85726,0.17601,0.73102,2.00509
66,0.94604,0.35131,0.51021,0.14752,4.56686,0.0,0.50398,0.40558,2.76821,0.01293,0.0,0.0,0.39296,3.95928,0.01794,1.9487,0.38427
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.24334,0.29584,0.13892,0.26384,1.97496,0.04061,0.53609,0.50887,0.00427,0.0,0.0,0.0,15.88358,1.52717,0.0,2.62971,0.7162
69,0.00068,0.37471,3.62311,0.08136,2.46503,0.24198,0.63554,0.03863,0.01646,0.01269,0.06932,0.02582,1.0495,0.59056,1.50074,0.15718,0.25591
70,0.03865,0.05673,2.78887,0.61477,9.50842,2.73046,0.24105,0.06191,0.68031,0.02035,0.05698,0.0,0.22844,0.09818,0.01059,0.17232,1.10591
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,1.36303,0.0,0.0,0.0,0.0,1.9472,0.4207,0.75148,0.0,0.0015,0.0,0.0,0.05128,0.04061,1.31337,0.0
78,0.11924,0.2196,0.39655,0.26097,8.15887,0.0493,0.06552,0.5756,0.11042,1.92458,0.01012,0.01579,0.02495,0.14108,1.00881,0.92811,0.22411
79,0.47714,0.5871,0.0346,0.01398,0.29749,0.0,2.34763,0.66677,0.0424,0.00186,0.0,0.00069,0.0,5.34576,0.04808,1.21745,0.00341
80,0.0,0.00072,0.0,3.73817,37.0396,1.86653,0.08423,0.00635,0.07727,0.00392,0.0,0.0,0.0323,0.03503,0.03043,0.00546,0.04955
81,0.03752,0.27026,0.0,0.06779,0.32272,0.19972,0.26427,0.31149,0.03444,0.00146,0.03214,0.01185,0.34701,0.00154,0.03851,0.17246,0.31815
82,0.0,0.0,22.20384,1.99692,0.00588,0.0,0.0,0.0,0.0,1.4118,2.29879,0.0,3.0967,0.0,2.34066,0.0015,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.03149,0.0152,5.24133,0.31014,1.05716,2.19845,0.13211,0.0935,0.15191,0.0,0.00878,0.02998,1.10755,0.24419,0.07733,0.27687,1.42179
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
